"행정구역별",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"전국(평균)",949.0,1272.5,967.8,1386.9,1193.0,1627.0,1249.2,1140.5,1740.3,1417.6
"서울특별시",792.1,991.7,1233.2,1284.1,891.3,1651.1,1186.5,1775.3,1598.8,1311.4
"부산광역시",1396.7,1760.2,1014.4,1778.6,1623.2,2281.6,1807.8,991.9,2082.5,1779.6
"대구광역시",548.5,1227.3,663.7,1297.6,995.7,1244.9,910.0,581.0,1321.8,1156.4
"인천광역시",633.8,899.7,724.4,1012.6,864.7,1335.7,1068.4,1401.1,1215.6,1086.1
"광주광역시",1049.6,1482.3,936.6,1427.9,1085.9,2027.0,1303.8,769.9,2116.1,1291.0
"대전광역시",822.7,1228.4,1127.5,1542.1,984.2,1614.0,1109.5,1203.1,2042.5,1360.5
"울산광역시",1044.6,1693.9,671.4,1416.1,1450.1,1557.9,1337.0,926.1,1642.9,1298.0
"세종특별자치시",-,-,-,-,959.3,1685.8,1104.6,1222.4,2103.3,1462.8
"경기도",820.0,1016.1,1094.9,1316.7,1000.5,1585.0,1050.7,1839.6,1486.4,1415.1
"강원특별자치도",893.9,1065.1,1101.8,1450.0,1094.6,1575.1,1129.9,1465.4,1449.0,1298.5
"충청북도",787.6,1080.3,1137.9,1370.7,941.1,1535.9,1151.2,1229.9,1733.6,1402.6
"충청남도",713.0,989.2,1013.5,1313.7,913.2,1537.8,1171.7,1273.2,1718.3,1541.8
"전북특별자치도",933.0,1254.5,949.3,1435.3,1148.2,1822.2,1276.1,911.0,1870.0,1339.5
"전라남도",1246.3,1499.6,867.4,1479.3,1401.9,1616.3,1392.4,896.7,1792.4,1666.8
"경상북도",823.1,1220.2,864.2,1316.6,1147.8,1364.5,1191.9,886.7,1545.3,1188.4
"경상남도",1237.5,1737.1,876.4,1679.9,1588.4,1886.5,1480.3,948.0,2062.4,1683.0
"제주특별자치도",2108.8,1792.5,1221.6,1857.1,2102.3,1706.1,1809.5,1362.4,1791.2,1928.9
