"시도별",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"시도별",합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),기타:면적 (ha),기타:10a당 생산량 (kg),기타:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),기타:면적 (ha),기타:10a당 생산량 (kg),기타:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),기타:면적 (ha),기타:10a당 생산량 (kg),기타:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),기타:면적 (ha),기타:10a당 생산량 (kg),기타:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),매실:면적 (ha),매실:10a당 생산량 (kg),매실:생산량 (톤),기타:면적 (ha),기타:10a당 생산량 (kg),기타:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),매실:면적 (ha),매실:10a당 생산량 (kg),매실:생산량 (톤),기타:면적 (ha),기타:10a당 생산량 (kg),기타:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),매실:면적 (ha),매실:10a당 생산량 (kg),매실:생산량 (톤),기타:면적 (ha),기타:10a당 생산량 (kg),기타:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),매실:면적 (ha),매실:10a당 생산량 (kg),매실:생산량 (톤),기타:면적 (ha),기타:10a당 생산량 (kg),기타:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),매실:면적 (ha),매실:10a당 생산량 (kg),매실:생산량 (톤),기타:면적 (ha),기타:10a당 생산량 (kg),기타:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),매실:면적 (ha),매실:10a당 생산량 (kg),매실:생산량 (톤),기타:면적 (ha),기타:10a당 생산량 (kg),기타:생산량 (톤)
"계",162944,2364233,31620,1843,582846,12664,2061,260975,16704,921,153882,15397,1453,223695,21265,3009,639892,27034,1123,303526,11849,1333,157990,15185,958,145536,5920,835,49417,32340,464,150000,166473,2387183,33300,1731,576369,11164,2132,238014,19877,1044,207539,14946,1534,229284,21682,2813,609832,25060,1143,286388,10002,1240,124020,15058,1078,162368,7033,907,63776,33411,527,175981,166957,2357867,33601,1623,545349,10861,2447,265757,21030,1057,222284,13107,1452,190265,21587,2767,597294,24749,1206,298382,9586,1193,114330,15164,1214,184052,7324,857,62778,34698,507,175758,164718,2160457,33234,1430,475303,10303,1972,203166,21087,981,206889,12795,1371,175399,21572,2879,621154,23918,1100,263030,9108,1146,104362,14810,1071,158668,7266,740,53794,34543,468,161722,160571,2206348,32954,1624,535324,9615,2088,200732,20636,1019,210345,12676,1311,166159,21180,2974,629785,23000,1126,258874,8639,1114,96271,14361,1132,162603,7100,720,51087,9385,498,46723,24026,447,107319,156738,1975538,31598,1336,422115,9091,1458,132580,20450,924,189058,13183,1258,165906,21111,3121,658859,21982,904,198817,8404,1063,89354,13578,806,109464,7315,684,50028,8487,473,40122,23520,502,118054,153405,2109490,34359,1502,515931,9675,2174,210293,19475,986,192094,13349,1260,168150,22029,2886,635835,20882,961,200610,8899,1123,99918,11983,840,100692,6657,755,50257,6256,483,30191,20724,512,106129,158830,2206133,34603,1636,566041,9680,2594,251093,20314,942,191310,14655,1288,188771,22125,2759,610454,22265,978,217853,9477,1096,103851,12788,891,114002,6664,786,52374,6392,481,30727,22131,441,97510,157136,1918343,33789,1167,394428,9607,1913,183802,20127,909,182975,14706,1331,195747,22108,2749,607766,21794,855,186264,9203,918,84529,12591,808,101735,6472,750,48527,5927,443,26262,22606,410,92576,-,-,33313,1381,460088,9421,1894,178451,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",39,581,0,0,0,24,2072,497,0,0,0,2,1350,27,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,12,475,57,19,363,0,0,0,14,2221,311,0,0,0,1,1600,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,900,36,28,478,0,327,0,18,2217,407,0,940,2,1,1581,16,0,0,0,0,2052,7,0,0,0,0,2052,7,0,1852,1,8,550,45,29,405,0,0,0,19,1817,351,0,708,2,1,1519,14,0,0,0,0,1510,5,0,0,0,0,1551,5,0,0,0,8,415,33,25,318,0,0,0,16,1818,290,0,0,0,1,383,3,0,0,0,1,1284,7,0,0,0,1,1284,7,0,1418,1,3,109,3,5,273,14,25,259,0,0,0,16,1444,231,0,35,0,1,392,3,0,0,0,1,1269,8,0,0,0,1,1269,8,0,446,0,2,97,2,5,280,14,44,203,0,663,0,7,1835,133,2,41,1,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,57,2,31,219,67,37,212,0,206,0,7,2287,165,2,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,57,3,23,189,43,35,159,0,266,0,8,1653,125,0,397,0,0,1750,1,0,0,0,2,4,0,0,0,0,2,4,0,0,0,0,4,15,1,22,146,32,-,-,0,102,0,6,1760,102,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"부산광역시",272,1368,1,2660,27,12,1469,176,1,0,0,0,0,0,5,1680,84,84,650,546,68,665,452,16,588,94,1,0,0,168,318,535,361,1856,6,1479,89,44,1535,675,2,50,1,3,1500,45,0,0,0,82,870,713,63,776,489,19,1179,224,1,1000,10,223,145,323,413,1650,3,464,13,39,1452,570,6,755,49,1,954,13,1,488,4,77,711,546,30,823,247,47,639,299,3,419,14,282,156,441,424,1673,5,303,15,29,733,216,7,856,58,1,744,9,0,0,0,77,743,569,28,881,245,49,664,324,4,353,13,301,263,793,463,1880,7,787,55,27,2365,640,11,722,77,2,862,13,0,1170,1,74,651,484,26,867,223,49,537,261,7,300,21,113,142,160,223,193,429,453,1492,7,398,28,26,1254,332,11,631,67,2,1274,19,0,0,0,75,460,346,27,119,32,49,645,315,6,868,49,124,306,380,202,134,270,300,1152,10,440,45,19,1435,280,6,1091,65,2,910,17,0,996,0,25,455,116,13,98,12,13,815,104,5,332,17,79,370,292,153,210,320,323,1102,11,429,49,22,1424,316,8,1018,77,2,897,22,0,0,0,33,439,144,15,107,16,17,734,128,4,575,25,70,262,184,172,166,285,343,1125,12,925,108,25,538,132,13,724,92,3,573,19,0,0,0,32,562,179,13,107,13,19,858,165,5,477,25,71,258,184,183,211,386,-,-,10,1486,146,21,903,191,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"대구광역시",1212,9827,66,2345,1548,3,1264,38,234,1179,2760,163,1090,1776,0,0,0,174,754,1312,76,984,748,98,576,564,77,883,680,495,346,1713,1076,10107,81,2009,1627,23,877,202,289,1211,3500,104,1088,1132,0,0,0,138,698,963,5,1300,65,133,675,898,119,925,1101,322,491,1582,1176,10402,82,1620,1322,17,779,129,270,1243,3351,117,1046,1222,0,0,0,185,624,1153,3,1194,39,181,614,1114,138,1007,1392,369,497,1833,1134,7894,56,913,509,17,1156,199,259,995,2579,92,662,607,0,0,0,186,569,1057,4,1167,42,182,557,1015,142,924,1315,382,426,1628,1059,7867,52,725,378,16,1419,222,227,1113,2529,96,729,697,0,0,0,204,764,1562,27,1074,289,177,717,1273,127,763,967,113,556,627,224,395,885,1042,7516,52,1244,647,14,762,110,209,1121,2346,99,590,583,0,0,0,194,789,1535,27,974,258,168,760,1276,148,653,967,95,543,518,230,352,811,1004,6097,80,946,752,12,1856,217,233,834,1945,145,614,889,0,0,0,123,383,473,10,768,74,114,351,399,70,687,483,65,517,334,276,364,1004,923,6113,75,1312,990,10,2303,237,214,886,1899,138,627,865,0,0,0,106,385,409,5,764,40,101,365,369,57,759,433,56,566,319,265,362,961,931,5674,86,748,641,7,1804,118,225,845,1902,115,871,1001,0,0,0,121,266,322,5,723,33,116,248,288,58,899,519,53,544,288,268,330,883,-,-,413,1131,4671,12,840,98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"인천광역시",611,3653,24,0,0,164,914,1498,19,384,73,72,1542,1110,0,0,0,36,497,179,22,482,106,14,521,73,5,760,38,291,259,755,574,4765,8,1018,81,157,1136,1784,12,967,116,110,1592,1751,0,0,0,9,811,73,0,0,0,9,811,73,1,0,0,277,347,960,481,4082,4,466,21,132,1409,1860,13,404,54,102,1448,1472,0,0,0,18,785,138,0,0,0,18,785,138,1,383,4,210,253,533,624,4813,16,312,50,121,1268,1529,19,311,58,130,1736,2252,0,0,0,16,469,77,0,0,0,16,470,77,2,562,10,321,261,837,695,5761,18,478,87,118,1275,1506,24,418,100,112,1717,1917,0,0,0,21,234,49,0,0,0,21,234,49,2,688,15,112,621,694,288,484,1393,641,5849,21,297,63,126,1473,1856,20,554,113,96,1765,1690,0,0,0,11,592,63,2,407,8,9,632,55,26,273,72,103,619,635,238,570,1357,515,4200,13,355,46,58,436,252,2,760,15,87,1757,1525,0,0,0,20,692,138,6,545,35,14,754,103,4,792,28,96,593,569,237,687,1627,474,3866,15,128,19,53,709,374,4,682,27,84,1762,1479,0,0,0,21,551,118,1,563,3,21,551,115,3,709,23,80,633,507,213,619,1319,479,3571,17,306,52,48,620,300,4,686,29,79,1810,1427,0,0,0,31,358,111,9,133,12,22,453,98,1,468,3,80,617,491,220,527,1159,-,-,23,217,50,38,448,172,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"광주광역시",662,3706,0,0,0,43,1312,564,26,546,142,17,1324,225,0,0,0,320,650,2080,162,818,1325,158,478,755,8,100,8,248,277,687,717,4971,2,0,0,41,1720,705,46,980,451,33,1330,439,0,0,0,360,735,2647,211,876,1848,149,536,799,0,0,0,235,310,729,771,6122,0,0,0,39,2123,832,54,927,502,28,1397,397,6,1851,119,363,812,2945,176,829,1456,187,795,1489,3,180,6,276,479,1321,754,6318,2,1068,21,45,1264,573,89,799,712,25,1385,350,6,1535,99,323,749,2422,141,769,1088,182,733,1334,5,165,8,258,828,2133,705,6742,3,1284,35,32,1742,551,86,1157,994,17,1450,245,0,0,0,293,985,2890,156,834,1302,137,1157,1588,6,154,9,126,475,597,143,990,1421,581,4043,3,692,20,15,1337,200,76,788,602,17,229,39,0,0,0,273,864,2355,141,737,1041,131,1000,1313,5,47,2,81,503,409,110,377,417,599,4092,4,694,25,33,1431,469,54,953,511,4,221,8,0,0,0,277,846,2347,106,758,802,172,901,1545,2,130,3,85,410,346,142,270,383,530,3412,4,828,31,25,431,108,35,983,339,8,206,17,0,0,0,247,836,2066,101,787,791,147,870,1275,3,265,8,93,487,454,115,338,389,473,2645,3,434,15,21,41,9,36,601,219,6,236,14,0,0,0,206,779,1605,77,775,593,130,781,1012,1,251,2,96,512,489,103,284,293,-,-,5,235,11,22,22,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"대전광역시",581,4706,4,1277,51,73,1691,1235,17,412,70,118,1519,1792,0,0,0,55,129,71,13,0,0,42,169,71,3,333,10,311,475,1477,675,7962,20,1611,322,137,1795,2459,52,1035,538,125,1637,2046,0,0,0,20,285,57,0,0,0,20,285,57,28,1143,320,293,758,2220,746,8658,13,1491,199,138,2473,3403,53,955,510,133,1436,1904,0,0,0,33,263,88,4,639,28,29,207,60,28,987,272,349,655,2282,756,7645,12,1300,153,133,1692,2258,57,979,555,134,1603,2148,0,0,0,27,471,126,5,654,30,22,433,96,28,925,260,366,587,2145,690,6524,6,1556,90,134,1907,2550,47,948,450,125,1364,1703,0,0,0,29,392,114,4,353,13,25,398,101,24,821,195,137,718,985,188,232,437,673,5651,11,106,11,97,1287,1244,58,937,540,134,1494,1998,0,0,0,45,259,117,10,127,13,35,297,104,22,956,211,109,724,789,198,374,741,573,4154,21,777,164,88,744,657,47,1037,485,100,1441,1446,0,0,0,48,413,200,0,0,0,48,413,200,13,748,97,61,744,451,194,337,654,551,4987,21,974,200,71,2091,1490,50,940,468,101,1555,1574,0,0,0,47,453,214,0,0,0,47,452,214,16,515,81,68,668,451,178,286,509,553,4117,19,581,112,58,1062,619,46,1472,679,105,1322,1392,0,0,0,42,430,182,0,700,1,42,430,181,13,630,84,62,910,563,206,236,487,-,-,25,548,139,44,1395,612,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"울산광역시",1263,11795,4,1995,80,567,929,5270,7,800,56,3,1767,53,0,0,0,388,1144,4438,355,1170,4155,33,858,283,9,778,70,285,641,1828,1259,11648,19,1798,342,555,950,5272,20,950,190,2,750,15,0,0,0,332,1069,3549,293,1115,3266,39,726,283,5,920,46,326,685,2234,1227,11915,27,1194,327,422,1344,5666,17,868,146,2,1452,28,0,0,0,371,1007,3732,242,1127,2726,129,781,1006,15,829,121,374,507,1895,1231,11509,32,528,167,361,1460,5268,21,718,148,3,1070,27,0,0,0,376,1008,3790,242,1154,2793,134,745,997,50,256,127,390,509,1982,1187,9514,29,68,19,327,1193,3898,23,419,96,1,860,12,0,0,0,364,961,3493,231,1110,2561,133,702,932,46,281,130,153,666,1018,245,346,848,1106,7055,27,223,61,293,463,1355,23,486,113,6,135,8,0,0,0,329,976,3211,205,1096,2247,124,778,964,11,440,47,149,797,1186,268,400,1074,1171,13465,14,1254,170,443,1784,7907,30,526,159,5,908,42,0,0,0,297,1022,3032,170,1136,1932,127,869,1100,5,352,19,120,894,1076,257,412,1060,1251,13821,18,2281,420,417,1740,7246,42,520,218,8,682,57,0,0,0,321,1057,3396,197,1181,2326,124,861,1070,14,372,51,131,920,1202,300,410,1231,1214,11706,25,1127,284,427,1389,5928,41,777,320,8,789,64,0,0,0,303,1065,3222,203,1200,2432,100,790,791,17,516,90,126,748,943,266,321,855,-,-,31,1237,381,406,1522,6178,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
