지점,지점명,일시,평균최저기온(°C),평균최고기온(°C),평균 해면기압(hPa),평균 상대습도(%),합계 일조시간(hr),평균 풍속(m/s),합계 대형 증발량(mm)
90,속초,2015,8.8,16.6,1015.7,67.5,2413.6,2.1,
90,속초,2016,9,16.8,1015.5,68.4,2205.3,1.9,
90,속초,2017,8.9,17.4,1015.1,61.6,2497.9,1.8,
90,속초,2018,8.5,16.9,1015.8,61.7,2421.1,1.9,
90,속초,2019,9.6,18,1015.2,60.6,2543.1,1.9,
90,속초,2020,9.3,17.5,1015.3,61.7,2447.9,2.1,
90,속초,2021,9.2,17.4,1015.5,64.5,2478.1,2,
90,속초,2022,8.8,17.1,1015.4,61.8,2488.1,2,
90,속초,2023,9.5,17.8,1015.4,63.5,2379.8,1.9,
90,속초,2024,10.3,18.1,1015.6,66.4,2270.9,2.2,757.5
93,북춘천,2016,,,,,475,,131.4
93,북춘천,2017,5.3,18.1,1016.6,66.3,2503.1,1.3,960.9
93,북춘천,2018,5.3,17.9,1017,65.6,2542,1.4,924.2
93,북춘천,2019,5.8,18.3,1016.6,68.6,2368.7,1.2,959.9
93,북춘천,2020,5.9,17.8,1016.8,72.5,2281.7,1.3,900.1
93,북춘천,2021,6.1,18,1016.8,73.5,2303.2,1.2,902.9
93,북춘천,2022,5.2,17.5,1017.1,71.8,2383.2,1.2,899.7
93,북춘천,2023,6.4,18.2,1016.9,74,2518.1,1.1,911
93,북춘천,2024,7.5,19.1,1016.8,71.3,2522.6,1.2,913.8
95,철원,2015,5.2,17.5,1016.6,66.7,2625.1,1.6,
95,철원,2016,5.5,17.4,1016.6,67.3,2356.9,1.5,
95,철원,2017,4.5,16.8,1016.8,65.8,2379.7,1.5,
95,철원,2018,4.6,16.7,1017.4,69.1,2506.1,1.7,
95,철원,2019,5,17.5,1016.8,73.7,2754.5,1.2,880.7
95,철원,2020,5.4,16.9,1017,78.3,2597.2,1.3,812.1
95,철원,2021,5.6,17.5,1017,78.7,2669.6,1.3,851.7
95,철원,2022,4.7,16.7,1017.3,74.8,2683,1.3,849
95,철원,2023,5.9,17.5,1017.1,74.7,2499.2,1.3,882.9
95,철원,2024,6.9,18.3,1017,74.8,2476.7,1.3,867.9
98,동두천,2015,7.1,19,1016.1,62,2483.1,1.6,
98,동두천,2016,7.3,19.3,1016.1,61,2412.1,1.6,
98,동두천,2017,6.4,18.6,1016.6,60.7,2446.4,1.7,
98,동두천,2018,6.4,18.4,1017.4,61,2590.3,1.6,
98,동두천,2019,6.6,18.4,1017,68.6,2563.3,1.4,
98,동두천,2020,6.8,18,1017.2,72.8,2440.3,1.4,
98,동두천,2021,6.9,18.4,1017,73.4,2417.4,1.3,45.7
98,동두천,2022,6.3,17.9,1016.9,70.3,2500.4,1.2,861.4
98,동두천,2023,7.4,18.5,1016.6,71.9,2282.7,1.1,867.4
98,동두천,2024,8.4,19.2,1016.5,74,2216.1,1.1,833.7
99,파주,2015,5.9,18.2,1016.6,66,2623,1.6,
99,파주,2016,6.2,18.2,1016.7,68.2,2555.7,1.6,
99,파주,2017,4.7,17.2,1016.8,70.9,2568.4,1.4,
99,파주,2018,4.9,17.1,1017.3,73,2592.8,1.5,
