"시도별",2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024
"시도별",합계:면적 (ha),합계:생산량 (톤),논벼:면적 (ha),논벼:10a당 생산량 (kg),논벼:생산량 (톤),밭벼:면적 (ha),밭벼:10a당 생산량 (kg),밭벼:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),논벼:면적 (ha),논벼:10a당 생산량 (kg),논벼:생산량 (톤),밭벼:면적 (ha),밭벼:10a당 생산량 (kg),밭벼:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),논벼:면적 (ha),논벼:10a당 생산량 (kg),논벼:생산량 (톤),밭벼:면적 (ha),밭벼:10a당 생산량 (kg),밭벼:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),논벼:면적 (ha),논벼:10a당 생산량 (kg),논벼:생산량 (톤),밭벼:면적 (ha),밭벼:10a당 생산량 (kg),밭벼:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),논벼:면적 (ha),논벼:10a당 생산량 (kg),논벼:생산량 (톤),밭벼:면적 (ha),밭벼:10a당 생산량 (kg),밭벼:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),논벼:면적 (ha),논벼:10a당 생산량 (kg),논벼:생산량 (톤),밭벼:면적 (ha),밭벼:10a당 생산량 (kg),밭벼:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),논벼:면적 (ha),논벼:10a당 생산량 (kg),논벼:생산량 (톤),밭벼:면적 (ha),밭벼:10a당 생산량 (kg),밭벼:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),논벼:면적 (ha),논벼:10a당 생산량 (kg),논벼:생산량 (톤),밭벼:면적 (ha),밭벼:10a당 생산량 (kg),밭벼:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),논벼:면적 (ha),논벼:10a당 생산량 (kg),논벼:생산량 (톤),밭벼:면적 (ha),밭벼:10a당 생산량 (kg),밭벼:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),논벼:면적 (ha),논벼:10a당 생산량 (kg),논벼:생산량 (톤),밭벼:면적 (ha),밭벼:10a당 생산량 (kg),밭벼:생산량 (톤)
"계",799344,4210475,797957,527,4206741,1387,269,3734,778734,4083756,777872,525,4081738,862,234,2018,754713,3865567,754339,512,3864730,374,224,837,737673,3763953,737408,510,3763340,265,232,613,729814,3643684,729585,499,3643118,229,247,567,726432,3412214,726180,470,3411635,253,229,579,732477,3777144,732070,516,3775890,407,308,1254,727054,3662417,726654,504,3661356,400,265,1061,708012,3602609,707872,509,3602292,140,227,317,697713,3488140,697684,500,3488081,29,206,60
"서울특별시",307,1531,307,499,1531,0,0,0,123,614,123,499,614,0,0,0,131,617,131,471,617,0,0,0,127,617,127,486,617,0,0,0,123,585,123,475,585,0,0,0,121,548,121,451,548,0,0,0,187,932,187,498,932,0,0,0,173,840,173,485,840,0,0,0,189,923,189,488,923,0,0,0,184,894,184,485,894,0,0,0
"부산광역시",2596,13376,2596,515,13376,0,0,0,2608,13432,2608,515,13432,0,0,0,2383,12062,2383,506,12062,0,0,0,2385,11978,2385,502,11978,0,0,0,2335,11576,2330,496,11561,5,287,16,2307,10005,2307,434,10005,0,0,0,2169,11213,2169,517,11213,0,0,0,2123,10511,2123,495,10511,0,0,0,1927,9069,1927,471,9069,0,0,0,1940,8554,1940,441,8554,0,0,0
"대구광역시",2843,14529,2843,511,14529,0,0,0,2956,14932,2956,505,14932,0,0,0,2970,15405,2970,519,15405,0,0,0,2848,14089,2848,495,14089,0,0,0,2752,13335,2752,485,13335,0,0,0,2919,13769,2919,472,13769,0,0,0,2847,14494,2847,509,14494,0,0,0,2935,15095,2935,514,15095,0,0,0,2914,13988,2914,480,13988,0,0,0,5196,25355,5196,488,25355,0,0,0
"인천광역시",10524,51223,10524,487,51223,0,0,0,10686,52512,10686,491,52512,0,0,0,10419,49636,10419,476,49636,0,0,0,10144,50517,10144,498,50517,0,0,0,10233,48915,10233,478,48915,0,0,0,10375,48660,10375,469,48660,0,0,0,11747,57947,11747,493,57947,0,214,0,11331,54664,11331,482,54664,0,0,0,11141,54394,11141,488,54394,0,0,0,11214,54858,11214,489,54858,0,0,0
"광주광역시",5381,26656,5378,496,26649,3,257,8,5191,25719,5180,496,25683,11,325,36,4988,24734,4988,496,24734,0,0,0,5009,23897,5004,477,23884,5,242,13,5026,23999,5020,478,23981,7,274,19,4967,22089,4966,445,22085,1,270,4,4916,24390,4910,496,24373,6,262,17,5066,24231,5066,478,24231,0,0,0,4620,22126,4607,480,22103,13,169,23,4722,22412,4722,475,22412,0,0,0
"대전광역시",1266,6310,1266,498,6310,0,0,0,1194,5945,1194,498,5945,0,0,0,1109,5337,1109,481,5337,0,0,0,1108,5450,1108,492,5450,0,0,0,1074,5266,1074,490,5266,0,0,0,945,4394,945,465,4394,0,0,0,1131,5862,1131,519,5862,0,0,0,1132,5668,1132,501,5668,0,0,0,1108,5532,1108,499,5532,0,0,0,1104,5507,1104,499,5507,0,0,0
"울산광역시",5227,25518,5227,488,25518,0,0,0,4695,20470,4695,436,20470,0,0,0,4102,19516,4102,476,19516,0,0,0,4037,19279,4037,478,19279,0,0,0,3897,17657,3897,453,17657,0,0,0,3907,17319,3907,443,17319,0,0,0,3793,18330,3793,483,18330,0,0,0,3710,17293,3710,466,17293,0,0,0,3495,16146,3495,462,16146,0,0,0,3496,15898,3496,455,15898,0,0,0
