"월별(1)",2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"월별(1)",맑음 ,구름조금,구름많음,흐 림,강 수,서 리,안 개,눈,뇌 전,폭 풍,황사,맑음 ,구름조금,구름많음,흐 림,강 수,서 리,안 개,눈,뇌 전,폭 풍,황사,맑음 ,구름조금,구름많음,흐 림,강 수,서 리,안 개,눈,뇌 전,폭 풍,황사,강 수,폭 풍,맑음 ,구름조금,구름많음,흐 림,강 수,서 리,안 개,눈,뇌 전,폭 풍,황사,맑음 ,구름조금,구름많음,흐 림,강 수,서 리,안 개,눈,뇌 전,폭 풍,황사,맑음 ,구름조금,구름많음,흐 림,강 수,서 리,안 개,눈,뇌 전,폭 풍,황사,맑음 ,구름조금,구름많음,흐 림,강 수,서 리,안 개,눈,뇌 전,폭 풍,황사,맑음 ,구름조금,구름많음,흐 림,강 수,서 리,안 개,눈,뇌 전,폭 풍,황사,맑음 ,구름조금,구름많음,흐 림,강 수,서 리,안 개,눈,뇌 전,폭 풍,황사
"합계",86,97,72,110,125,75,6,23,8,-,7,78,101,67,119,120,48,12,26,16,-,9,61,119,73,113,126,42,8,24,15,-,6,98,5,81,122,90,72,100,32,7,31,12,-,5,71,107,85,102,94,56,3,14,12,-,3,168,-,111,87,104,51,6,15,17,-,3,63,110,75,117,122,32,3,23,25,-,12,75,107,84,99,89,52,2,27,12,-,4,83,106,64,111,116,58,8,20,18,-,12
"1월",15,10,2,4,6,26,1,4,-,-,2,9,12,3,7,11,17,3,8,-,-,-,-,17,6,8,11,6,-,11,-,-,-,9,3,9,11,3,8,8,6,2,11,-,-,-,11,9,6,5,5,8,-,5,-,-,-,11,-,11,9,6,12,2,-,-,-,-,3,12,4,12,11,8,1,11,-,-,1,6,13,6,6,2,15,-,6,-,-,-,10,14,1,6,4,19,-,7,-,-,3
"2월",6,8,6,8,5,16,1,3,-,-,-,6,9,4,9,6,11,-,5,-,-,2,10,8,4,7,8,10,-,8,-,-,-,7,-,7,8,12,1,8,7,-,8,-,-,-,2,10,8,8,4,12,1,2,-,-,-,16,-,9,4,12,13,-,6,-,-,1,11,3,5,9,8,5,-,5,1,-,-,4,14,5,5,6,13,-,12,-,-,-,9,8,6,5,7,17,2,2,-,-,-
"3월",10,11,4,6,11,11,1,-,-,-,2,13,11,3,4,6,7,1,4,-,-,6,10,11,5,5,5,7,-,1,1,-,-,9,-,9,9,3,10,10,4,2,2,2,-,-,7,10,9,5,7,7,-,1,2,-,-,20,-,8,3,5,6,2,1,-,-,-,8,10,5,8,9,1,-,-,-,-,3,7,8,6,10,8,6,-,-,-,-,1,11,13,3,4,3,4,-,-,1,-,2
"4월",10,8,3,9,6,-,-,-,-,-,-,7,5,6,12,14,-,2,-,4,-,-,6,7,4,13,13,-,1,-,-,-,5,7,1,8,11,4,7,10,1,-,1,-,-,2,7,5,7,11,10,2,2,-,2,-,-,23,-,5,2,4,1,-,-,-,-,1,8,7,4,11,6,-,-,-,-,-,3,10,10,2,8,6,-,-,-,1,-,2,12,4,4,10,8,3,1,-,-,-,5
"5월",15,10,2,4,8,-,-,-,-,-,3,9,9,6,7,8,-,-,-,1,-,-,6,8,11,6,8,-,-,-,-,-,1,6,-,3,11,11,6,8,-,-,-,1,-,-,9,9,9,4,6,-,-,-,-,-,-,11,-,11,9,9,-,-,-,1,-,-,4,11,5,11,9,-,-,-,4,-,5,14,6,3,8,1,-,-,-,1,-,-,5,9,5,12,9,-,2,-,1,-,2
"6월",-,8,11,11,8,-,-,-,2,-,-,1,4,12,13,9,-,1,-,2,-,-,2,8,5,15,9,-,-,-,-,-,-,6,-,4,8,9,9,7,-,-,-,3,-,-,3,10,7,10,9,-,-,-,1,-,-,10,-,12,8,12,-,-,-,-,-,-,2,10,11,7,14,-,-,-,1,-,-,2,6,12,10,14,-,-,-,5,-,-,4,8,6,12,10,-,1,-,4,-,-
"7월",1,5,9,16,19,-,-,-,2,-,-,-,7,8,16,14,-,-,-,2,-,-,-,12,7,12,12,-,-,-,7,-,-,17,-,7,11,8,5,4,-,-,-,1,-,-,1,5,8,17,13,-,-,-,2,-,-,1,-,8,22,17,-,-,-,4,-,-,1,7,13,10,11,-,1,-,2,-,-,1,7,12,11,13,-,1,-,1,-,-,-,6,5,20,19,-,1,-,5,-,-
"8월",-,4,7,20,20,-,-,-,2,-,-,5,9,5,12,9,-,-,-,3,-,-,8,14,4,5,14,-,-,-,4,-,-,12,1,1,14,11,5,10,-,-,-,5,-,-,1,8,13,9,8,-,-,-,2,-,-,11,-,10,10,13,-,-,-,9,-,-,-,8,10,13,19,-,-,-,12,-,-,-,4,13,14,13,-,-,-,3,-,-,2,15,7,7,15,-,-,-,4,-,-
"9월",3,11,6,10,7,-,-,-,-,-,-,7,13,3,7,8,-,-,-,2,-,-,1,7,10,12,13,-,-,-,2,-,-,5,-,4,6,12,8,11,-,-,-,-,-,-,4,8,4,14,12,-,-,-,-,-,-,12,-,9,9,12,-,-,-,2,-,-,1,7,5,17,14,-,-,-,5,-,-,3,9,6,12,5,-,-,-,-,-,-,4,8,7,11,12,-,1,-,2,-,-
"10월",14,7,5,5,6,-,2,-,1,-,-,12,12,5,2,7,-,2,-,2,-,1,2,7,7,15,13,-,3,-,-,-,-,6,-,11,11,6,3,10,-,-,-,-,-,-,10,11,2,8,7,-,-,-,2,-,1,20,-,9,2,3,-,1,-,-,-,1,9,11,5,6,6,-,-,-,-,-,-,13,7,6,5,4,1,-,-,1,-,-,13,7,6,5,7,-,-,-,-,-,-
"11월",7,9,6,8,9,8,1,-,-,-,-,2,4,7,17,15,-,2,3,-,-,-,11,7,6,6,9,6,3,-,-,-,-,4,-,13,10,3,4,7,7,2,-,-,-,3,10,11,5,4,6,9,-,-,1,-,2,14,-,10,6,6,6,-,-,1,-,-,7,14,1,8,9,5,1,-,-,-,-,10,11,4,5,7,4,1,-,-,-,-,7,8,9,5,10,7,-,3,-,-,-
"12월",5,6,11,9,20,14,-,16,1,-,-,7,6,5,13,13,13,1,6,-,-,-,5,13,4,9,11,13,1,4,1,-,-,10,-,5,12,8,6,7,7,1,9,-,-,-,6,11,7,7,7,18,-,6,-,-,-,19,-,9,3,5,13,1,8,-,-,-,9,10,7,5,6,13,-,7,-,-,-,5,12,9,5,10,13,-,9,-,-,1,6,6,5,14,12,8,-,8,1,-,-
