CustomerID,Gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,ChurnLabel,Age,NumDependents,TenureMonths,Offer,City,State,Zip Code,SatisfactionScore,CLTV,Churn Reason
3668-QPYBK,Male,No,No,No,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,Yes,37,0,2,,Los Angeles,California,90003,1,3239,Competitor made better offer
9237-HQITU,Female,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,19,2,2,,Los Angeles,California,90005,2,2701,Moved
9305-CDSKC,Female,No,No,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,31,2,8,,Los Angeles,California,90006,3,5372,Moved
7892-POOKP,Female,No,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,23,3,28,Offer C,Los Angeles,California,90010,3,5003,Moved
0280-XJGEX,Male,No,No,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),Yes,38,1,49,,Los Angeles,California,90015,1,5340,Competitor had better devices
4190-MFLUW,Female,No,Yes,No,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),Yes,21,0,10,,San Diego,California,92121,1,5925,Competitor made better offer
8779-QRDMV,Male,Yes,No,No,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,Yes,78,0,1,,Los Angeles,California,90022,3,5433,Competitor offered more data
1066-JKSGK,Male,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,Yes,29,0,1,,Los Angeles,California,90024,1,4832,Competitor made better offer
6467-CHFZW,Male,No,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,61,1,47,,Los Angeles,California,90028,1,5789,Competitor had better devices
8665-UTDHZ,Male,No,Yes,No,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,Yes,27,0,1,,Los Angeles,California,90029,1,2915,Competitor had better devices
8773-HHUOZ,Female,No,No,No,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,Yes,20,0,17,,Los Angeles,California,90032,1,3022,Competitor offered higher download speeds
6047-YHPVI,Male,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,56,3,5,,Los Angeles,California,90039,1,2454,Competitor had better devices
5380-WJKOV,Male,No,No,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,51,1,34,Offer C,Los Angeles,California,90041,2,2941,Competitor offered higher download speeds
8168-UQWWF,Female,No,No,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),Yes,48,2,11,,Los Angeles,California,90042,3,5674,Competitor offered more data
7760-OYPDY,Female,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,Yes,32,2,2,,Los Angeles,California,90056,1,5586,Competitor had better devices
9420-LOJKX,Female,No,No,Yes,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),Yes,34,1,15,,Los Angeles,California,90061,1,2966,Competitor offered more data
7495-OOKFY,Female,Yes,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),Yes,74,1,8,Offer E,Los Angeles,California,90063,3,5302,Competitor made better offer
1658-BYGOY,Male,Yes,No,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,71,3,18,Offer D,Los Angeles,California,90065,2,3179,Competitor made better offer
5698-BQJOH,Female,No,No,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,Yes,41,2,9,,Beverly Hills,California,90211,3,5571,Price too high
5919-TMRGD,Female,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,Yes,32,3,1,,Huntington Park,California,90255,1,2483,Competitor had better devices
9191-MYQKX,Female,No,Yes,Yes,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),Yes,34,5,7,,Lynwood,California,90262,1,3457,Service dissatisfaction
8637-XJIVR,Female,No,No,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,34,3,12,,Marina Del Rey,California,90292,1,5806,Attitude of support person
0278-YXOOG,Male,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,Yes,30,0,5,Offer E,Inglewood,California,90301,3,2604,Attitude of support person
4598-XLKNJ,Female,Yes,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,78,1,25,Offer C,Inglewood,California,90303,2,5337,Limited range of services
3192-NQECA,Male,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),Yes,26,0,68,Offer A,Santa Monica,California,90403,2,5034,Competitor had better devices
0486-HECZI,Male,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,Yes,37,1,55,,Torrance,California,90504,1,5154,Long distance charges
4846-WHAFZ,Female,Yes,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,80,1,37,Offer C,Whittier,California,90602,2,2793,Extra data charges
