Gender,SeniorCitizen,Partner,Dependents,Phone Service,Multiple Lines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,ChurnLabel,Age,NumDependents,TenureMonths,Offer,City,State,Zip Code,SatisfactionScore,CLTV,Churn Reason
Male,0,0,0,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Mailed check,1,37,0,2,,Los Angeles,California,90003,1,3239,Competitor made better offer
Female,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,1,19,2,2,,Los Angeles,California,90005,2,2701,Moved
Female,0,0,1,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,1,31,2,8,,Los Angeles,California,90006,3,5372,Moved
Female,0,1,1,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,1,23,3,28,Offer C,Los Angeles,California,90010,3,5003,Moved
Male,0,0,1,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),1,38,1,49,,Los Angeles,California,90015,1,5340,Competitor had better devices
Female,0,1,0,1,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Credit card (automatic),1,21,0,10,,San Diego,California,92121,1,5925,Competitor made better offer
Male,1,0,0,0,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,1,78,0,1,,Los Angeles,California,90022,3,5433,Competitor offered more data
Male,0,0,0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,1,29,0,1,,Los Angeles,California,90024,1,4832,Competitor made better offer
Male,0,1,1,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,1,61,1,47,,Los Angeles,California,90028,1,5789,Competitor had better devices
Male,0,1,0,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,1,27,0,1,,Los Angeles,California,90029,1,2915,Competitor had better devices
Female,0,0,0,1,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Mailed check,1,20,0,17,,Los Angeles,California,90032,1,3022,Competitor offered higher download speeds
Male,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,1,56,3,5,,Los Angeles,California,90039,1,2454,Competitor had better devices
Male,0,0,1,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,1,51,1,34,Offer C,Los Angeles,California,90041,2,2941,Competitor offered higher download speeds
Female,0,0,1,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),1,48,2,11,,Los Angeles,California,90042,3,5674,Competitor offered more data
Female,0,0,1,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,1,32,2,2,,Los Angeles,California,90056,1,5586,Competitor had better devices
Female,0,0,1,1,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),1,34,1,15,,Los Angeles,California,90061,1,2966,Competitor offered more data
Female,1,1,1,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),1,74,1,8,Offer E,Los Angeles,California,90063,3,5302,Competitor made better offer
Male,1,0,1,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,1,71,3,18,Offer D,Los Angeles,California,90065,2,3179,Competitor made better offer
Female,0,0,1,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,1,41,2,9,,Beverly Hills,California,90211,3,5571,Price too high
Female,0,0,1,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,1,32,3,1,,Huntington Park,California,90255,1,2483,Competitor had better devices
Female,0,1,1,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),1,34,5,7,,Lynwood,California,90262,1,3457,Service dissatisfaction
Female,0,0,1,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,1,34,3,12,,Marina Del Rey,California,90292,1,5806,Attitude of support person
Male,0,0,0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,1,30,0,5,Offer E,Inglewood,California,90301,3,2604,Attitude of support person
Female,1,1,1,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,1,78,1,25,Offer C,Inglewood,California,90303,2,5337,Limited range of services
Male,0,1,0,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),1,26,0,68,Offer A,Santa Monica,California,90403,2,5034,Competitor had better devices
Male,0,1,1,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,1,37,1,55,,Torrance,California,90504,1,5154,Long distance charges
Female,1,1,1,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,1,80,1,37,Offer C,Whittier,California,90602,2,2793,Extra data charges
Female,0,1,1,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,1,62,2,10,,Whittier,California,90606,2,5998,Price too high
Male,0,0,1,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,1,21,2,3,Offer E,La Habra,California,90631,1,4415,Product dissatisfaction
Female,1,0,1,1,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,1,72,1,27,Offer C,Pico Rivera,California,90660,1,4638,Competitor had better devices
Female,0,1,0,0,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),1,27,0,25,Offer C,Avalon,California,90704,1,4190,Attitude of support person
Male,0,0,0,0,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,1,64,0,1,Offer E,Harbor City,California,90710,3,2301,Network reliability
Male,0,0,0,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,1,45,0,2,Offer E,Lakewood,California,90712,3,2570,Don't know
Female,1,1,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,1,76,2,1,Offer E,Los Alamitos,California,90720,2,3964,Don't know
Female,0,0,0,1,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,0,Electronic check,1,53,0,8,Offer E,San Pedro,California,90731,1,2662,Don't know
Male,0,0,0,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,1,63,0,1,Offer E,Carson,California,90745,1,2600,Competitor had better devices
Male,0,0,1,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Mailed check,1,32,4,7,Offer E,Long Beach,California,90804,1,2786,Competitor had better devices
Female,0,1,1,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Electronic check,1,26,1,20,,Altadena,California,91001,1,5719,Price too high
Female,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),1,42,1,4,Offer E,Monrovia,California,91016,1,4287,Product dissatisfaction
Male,1,1,0,0,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,1,66,0,58,Offer B,Sierra Madre,California,91024,1,5444,Service dissatisfaction
Female,0,1,1,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,1,26,3,2,Offer E,Tujunga,California,91042,3,4690,Attitude of support person
Female,0,1,0,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),1,24,0,53,,Pasadena,California,91103,1,4328,Competitor had better devices
Female,1,0,1,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,1,70,2,15,Offer D,Pasadena,California,91106,2,5717,Limited range of services
Female,1,0,1,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),1,77,2,7,Offer E,Pasadena,California,91107,2,4419,Lack of affordable download/upload speed
Female,0,0,0,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,0,Bank transfer (automatic),1,54,0,1,Offer E,Glendale,California,91202,1,4534,Competitor had better devices
Male,0,0,1,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Bank transfer (automatic),1,51,2,8,Offer E,Glendale,California,91204,2,2152,Extra data charges
Female,0,0,1,1,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Electronic check,1,48,3,13,,Glendale,California,91206,1,5142,Competitor had better devices
Female,0,1,0,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,1,29,0,1,Offer E,Glendale,California,91207,1,4851,Product dissatisfaction
Male,0,1,1,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,1,39,2,6,,Canoga Park,California,91304,2,2283,Service dissatisfaction
Male,0,0,1,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,1,62,3,1,,Mission Hills,California,91345,2,3394,Attitude of support person
Female,0,0,1,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,1,43,1,19,,Santa Clarita,California,91350,1,3764,Network reliability
Male,0,0,0,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),1,19,0,2,,Sun Valley,California,91352,3,2667,Don't know
Female,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,1,39,2,4,,Stevenson Ranch,California,91381,2,2227,Don't know
Male,0,1,0,1,No,DSL,No,No,No,Yes,No,No,Month-to-month,0,Mailed check,1,50,0,4,,Fallbrook,California,92028,2,3394,Competitor made better offer
Female,0,1,0,1,No,DSL,No,No,No,No,Yes,No,Month-to-month,0,Mailed check,1,22,0,1,,Van Nuys,California,91411,2,3638,Poor expertise of online support
Male,0,0,1,1,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,1,Mailed check,1,40,1,1,,Burbank,California,91504,2,2484,Poor expertise of phone support
Male,0,0,0,1,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,1,Mailed check,1,22,0,2,,North Hollywood,California,91601,3,2556,Price too high
Female,1,0,1,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,1,78,1,11,Offer D,North Hollywood,California,91605,1,5980,Product dissatisfaction
Male,1,0,0,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,1,65,0,15,Offer D,Covina,California,91722,1,4616,Competitor had better devices
Male,0,0,0,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,1,37,0,1,,Covina,California,91723,1,5687,Attitude of support person
Female,0,1,0,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,1,47,0,2,,El Monte,California,91731,1,5687,Network reliability
Male,1,1,0,0,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,1,77,0,1,Offer E,El Monte,California,91732,2,5828,Limited range of services
Female,0,1,0,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),1,41,0,2,Offer E,La Puente,California,91744,2,4884,Lack of affordable download/upload speed
Male,1,0,0,0,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,1,67,0,3,Offer E,La Puente,California,91746,2,2314,Long distance charges
Male,1,0,0,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,1,68,0,13,Offer D,Rowland Heights,California,91748,1,2494,Competitor had better devices
Male,0,0,0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,1,51,0,59,,Ontario,California,91762,3,5084,Price too high
Female,1,0,0,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,1,68,0,16,Offer D,Ontario,California,91764,1,3810,Competitor had better devices
Male,0,0,0,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),1,60,0,1,Offer E,Pomona,California,91766,2,5087,Service dissatisfaction
Male,0,0,0,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,1,30,0,1,Offer E,Pomona,California,91768,2,3338,Attitude of support person
Male,0,1,0,1,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,1,Electronic check,1,51,0,5,Offer E,Rosemead,California,91770,3,3676,Network reliability
Female,0,1,0,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,1,20,0,52,,San Dimas,California,91773,2,4839,Don't know
Male,0,1,0,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,0,Mailed check,1,52,0,18,,West Covina,California,91791,3,4643,Don't know
Male,0,1,0,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,1,41,0,1,Offer E,Alhambra,California,91803,3,4094,Don't know
Male,1,0,0,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,1,66,0,8,,Alpine,California,91901,2,4345,Poor expertise of online support
Male,0,0,0,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),1,34,0,10,,San Diego,California,92122,2,4061,Competitor made better offer
Male,1,0,0,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,1,69,0,24,Offer C,San Diego,California,92122,2,2018,Competitor made better offer
Female,0,0,0,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,1,21,0,1,,San Diego,California,92122,1,2565,Competitor made better offer
Female,1,0,0,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,1,74,0,4,Offer E,San Diego,California,92122,3,3677,Competitor made better offer
Male,1,1,0,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,1,76,0,32,Offer C,San Diego,California,92122,2,4105,Attitude of support person
Male,0,0,0,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,1,30,0,5,Offer E,San Diego,California,92122,2,5715,Competitor made better offer
Female,0,1,0,1,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,0,Credit card (automatic),1,55,0,38,Offer C,San Diego,California,92122,1,2071,Don't know
Male,1,1,0,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,1,77,0,24,Offer C,San Diego,California,92122,2,2212,Competitor made better offer
Female,1,0,0,1,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,0,Bank transfer (automatic),1,70,0,54,Offer B,San Diego,California,92122,1,4149,Competitor made better offer
Female,1,0,0,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,1,74,0,2,Offer E,San Diego,California,92122,3,2671,Don't know
Female,0,0,0,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,1,29,0,7,,San Diego,California,92122,3,2473,Competitor made better offer
Female,0,0,0,1,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,0,Mailed check,1,54,0,2,,San Diego,California,92122,1,2683,Competitor made better offer
Male,0,1,0,1,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,1,Bank transfer (automatic),1,63,0,68,Offer A,San Diego,California,92122,3,4903,Competitor made better offer
Female,0,0,0,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,1,Electronic check,1,24,0,43,,San Diego,California,92122,1,5250,Competitor made better offer
Male,0,1,0,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,1,61,0,63,,San Diego,California,92122,2,4352,Competitor made better offer
Female,0,0,0,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,1,47,0,2,Offer E,San Diego,California,92122,3,4157,Don't know
