Gender,SeniorCitizen,Partner,Dependents,Phone Service,Multiple Lines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,ChurnLabel,Age,NumDependents,TenureMonths,Offer,SatisfactionScore,CLTV,HasInternet
1,0,0,0,1,0,1,1,0,0,0,0,Month-to-month,1,Mailed check,1,37,0,2,,1,3239,1
0,0,0,1,1,0,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,19,2,2,,2,2701,1
0,0,0,1,1,1,0,0,1,0,1,1,Month-to-month,1,Electronic check,1,31,2,8,,3,5372,1
0,0,1,1,1,1,0,0,1,1,1,1,Month-to-month,1,Electronic check,1,23,3,28,Offer C,3,5003,1
1,0,0,1,1,1,0,1,1,0,1,1,Month-to-month,1,Bank transfer (automatic),1,38,1,49,,1,5340,1
0,0,1,0,1,0,0,0,1,1,0,0,Month-to-month,0,Credit card (automatic),1,21,0,10,,1,5925,1
1,1,0,0,0,0,0,0,1,0,0,1,Month-to-month,1,Electronic check,1,78,0,1,,3,5433,0
1,0,0,0,1,0,0,0,0,0,0,0,Month-to-month,0,Mailed check,1,29,0,1,,1,4832,0
1,0,1,1,1,1,0,1,0,0,1,1,Month-to-month,1,Electronic check,1,61,1,47,,1,5789,1
1,0,1,0,0,0,0,1,0,0,0,0,Month-to-month,0,Electronic check,1,27,0,1,,1,2915,0
0,0,0,0,1,0,0,0,0,0,1,1,Month-to-month,1,Mailed check,1,20,0,17,,1,3022,1
1,0,0,1,1,0,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,56,3,5,,1,2454,1
1,0,0,1,1,1,0,1,1,0,1,1,Month-to-month,1,Electronic check,1,51,1,34,Offer C,2,2941,1
0,0,0,1,1,1,0,0,1,0,1,1,Month-to-month,1,Bank transfer (automatic),1,48,2,11,,3,5674,1
0,0,0,1,1,0,0,0,0,0,1,0,Month-to-month,1,Electronic check,1,32,2,2,,1,5586,1
0,0,0,1,1,0,1,1,0,0,1,1,Month-to-month,1,Credit card (automatic),1,34,1,15,,1,2966,1
0,1,1,1,1,1,0,1,0,0,0,0,Month-to-month,1,Credit card (automatic),1,74,1,8,Offer E,3,5302,1
1,1,0,1,1,1,0,0,0,0,1,1,Month-to-month,1,Electronic check,1,71,3,18,Offer D,2,3179,1
0,0,0,1,1,1,0,0,0,0,1,1,Month-to-month,0,Electronic check,1,41,2,9,,3,5571,1
0,0,0,1,1,0,0,0,0,0,1,0,Month-to-month,1,Electronic check,1,32,3,1,,1,2483,1
0,0,1,1,1,0,0,0,1,0,0,0,Month-to-month,1,Bank transfer (automatic),1,34,5,7,,1,3457,1
0,0,0,1,1,1,1,0,0,0,0,0,Month-to-month,1,Electronic check,1,34,3,12,,1,5806,1
1,0,0,0,1,0,0,0,0,0,0,0,Month-to-month,0,Mailed check,1,30,0,5,Offer E,3,2604,0
0,1,1,1,1,0,0,1,1,0,1,1,Month-to-month,1,Electronic check,1,78,1,25,Offer C,2,5337,1
1,0,1,0,1,1,0,1,1,1,1,1,Two year,1,Bank transfer (automatic),1,26,0,68,Offer A,2,5034,1
1,0,1,1,1,1,1,1,0,0,1,0,Month-to-month,1,Electronic check,1,37,1,55,,1,5154,1
0,1,1,1,1,1,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,80,1,37,Offer C,2,2793,1
0,0,1,1,1,1,1,0,0,0,1,1,Month-to-month,1,Electronic check,1,62,2,10,,2,5998,1
1,0,0,1,1,1,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,21,2,3,Offer E,1,4415,1
0,1,0,1,1,1,0,0,1,0,0,0,Month-to-month,1,Electronic check,1,72,1,27,Offer C,1,4638,1
0,0,1,0,0,0,1,1,1,0,1,1,Month-to-month,1,Credit card (automatic),1,27,0,25,Offer C,1,4190,0
1,0,0,0,0,0,0,0,0,0,0,1,Month-to-month,1,Electronic check,1,64,0,1,Offer E,3,2301,0
1,0,0,0,1,0,0,0,0,0,0,0,Month-to-month,0,Electronic check,1,45,0,2,Offer E,3,2570,1
0,1,1,1,1,0,0,0,0,0,0,0,Month-to-month,1,Mailed check,1,76,2,1,Offer E,2,3964,1
0,0,0,0,1,1,1,0,0,1,0,1,Month-to-month,0,Electronic check,1,53,0,8,Offer E,1,2662,1
1,0,0,0,1,0,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,63,0,1,Offer E,1,2600,1
1,0,0,1,1,1,0,0,0,0,1,1,Month-to-month,0,Mailed check,1,32,4,7,Offer E,1,2786,1
0,0,1,1,1,1,1,0,0,0,0,0,Month-to-month,0,Electronic check,1,26,1,20,,1,5719,1
0,0,0,1,1,0,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),1,42,1,4,Offer E,1,4287,1
1,1,1,0,0,0,0,1,1,0,0,1,Month-to-month,1,Electronic check,1,66,0,58,Offer B,1,5444,0
0,0,1,1,1,1,0,0,1,1,1,1,Month-to-month,1,Electronic check,1,26,3,2,Offer E,3,4690,1
0,0,1,0,1,0,0,0,1,0,1,1,One year,1,Bank transfer (automatic),1,24,0,53,,1,4328,1
0,1,0,1,1,1,0,0,0,0,0,0,Month-to-month,1,Mailed check,1,70,2,15,Offer D,2,5717,1
0,1,0,1,1,0,1,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),1,77,2,7,Offer E,2,4419,1
0,0,0,0,0,0,0,1,0,0,0,0,Month-to-month,0,Bank transfer (automatic),1,54,0,1,Offer E,1,4534,0
1,0,0,1,1,1,0,0,0,0,0,1,Month-to-month,0,Bank transfer (automatic),1,51,2,8,Offer E,2,2152,1
0,0,0,1,1,0,0,1,1,0,0,0,Month-to-month,1,Electronic check,1,48,3,13,,1,5142,1
0,0,1,0,0,0,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,29,0,1,Offer E,1,4851,0
1,0,1,1,1,0,0,1,1,0,0,1,Month-to-month,1,Electronic check,1,39,2,6,,2,2283,1
1,0,0,1,1,0,0,0,0,0,0,1,Month-to-month,0,Electronic check,1,62,3,1,,2,3394,1
0,0,0,1,1,0,1,0,1,1,1,1,Month-to-month,1,Electronic check,1,43,1,19,,1,3764,1
1,0,0,0,1,0,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),1,19,0,2,,3,2667,1
0,0,0,1,1,0,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,39,2,4,,2,2227,1
1,0,1,0,1,0,0,0,0,1,0,0,Month-to-month,0,Mailed check,1,50,0,4,,2,3394,1
0,0,1,0,1,0,0,0,0,0,1,0,Month-to-month,0,Mailed check,1,22,0,1,,2,3638,1
1,0,0,1,1,0,1,0,0,0,0,1,Month-to-month,1,Mailed check,1,40,1,1,,2,2484,1
1,0,0,0,1,1,0,1,0,0,0,0,Month-to-month,1,Mailed check,1,22,0,2,,3,2556,1
0,1,0,1,1,0,0,1,0,0,1,1,Month-to-month,1,Electronic check,1,78,1,11,Offer D,1,5980,1
1,1,0,0,1,0,0,1,0,0,0,0,Month-to-month,1,Electronic check,1,65,0,15,Offer D,1,4616,1
1,0,0,0,1,0,1,0,0,0,0,0,Month-to-month,1,Mailed check,1,37,0,1,,1,5687,1
0,0,1,0,1,0,0,0,0,0,0,0,Month-to-month,0,Electronic check,1,47,0,2,,1,5687,1
1,1,1,0,0,0,0,1,0,0,1,0,Month-to-month,0,Electronic check,1,77,0,1,Offer E,2,5828,0
0,0,1,0,1,0,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),1,41,0,2,Offer E,2,4884,1
1,1,0,0,0,0,0,0,1,0,0,1,Month-to-month,1,Electronic check,1,67,0,3,Offer E,2,2314,0
1,1,0,0,1,1,0,1,1,0,1,1,Month-to-month,1,Electronic check,1,68,0,13,Offer D,1,2494,1
1,0,0,0,1,0,0,0,0,0,0,0,Two year,0,Mailed check,1,51,0,59,,3,5084,0
0,1,0,0,1,0,0,0,0,1,1,1,Month-to-month,1,Electronic check,1,68,0,16,Offer D,1,3810,1
1,0,0,0,0,0,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),1,60,0,1,Offer E,2,5087,0
1,0,0,0,1,0,0,0,0,0,0,0,Month-to-month,0,Mailed check,1,30,0,1,Offer E,2,3338,1
1,0,1,0,1,1,0,1,0,1,0,0,Month-to-month,1,Electronic check,1,51,0,5,Offer E,3,3676,1
0,0,1,0,1,1,0,1,1,0,1,1,Month-to-month,1,Electronic check,1,20,0,52,,2,4839,1
1,0,1,0,1,0,0,0,1,0,1,1,Month-to-month,0,Mailed check,1,52,0,18,,3,4643,1
1,0,1,0,1,0,0,0,0,0,0,0,Month-to-month,0,Electronic check,1,41,0,1,Offer E,3,4094,1
1,1,0,0,1,0,0,1,0,0,0,0,Month-to-month,1,Electronic check,1,66,0,8,,2,4345,1
1,0,0,0,1,0,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),1,34,0,10,,2,4061,1
1,1,0,0,1,1,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,69,0,24,Offer C,2,2018,1
0,0,0,0,1,0,1,0,0,0,0,0,Month-to-month,1,Mailed check,1,21,0,1,,1,2565,1
0,1,0,0,1,1,0,0,0,0,1,1,Month-to-month,1,Electronic check,1,74,0,4,Offer E,3,3677,1
1,1,1,0,1,1,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,76,0,32,Offer C,2,4105,1
1,0,0,0,1,0,0,0,0,0,1,0,Month-to-month,1,Electronic check,1,30,0,5,Offer E,2,5715,1
0,0,1,0,1,0,1,1,0,1,1,1,One year,0,Credit card (automatic),1,55,0,38,Offer C,1,2071,1
1,1,1,0,1,0,0,0,1,0,1,1,Month-to-month,1,Electronic check,1,77,0,24,Offer C,2,2212,1
0,1,0,0,1,1,1,1,0,1,1,1,One year,0,Bank transfer (automatic),1,70,0,54,Offer B,1,4149,1
0,1,0,0,1,0,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,74,0,2,Offer E,3,2671,1
0,0,0,0,1,1,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,29,0,7,,3,2473,1
0,0,0,0,1,1,0,0,1,0,0,0,Month-to-month,0,Mailed check,1,54,0,2,,1,2683,1
1,0,1,0,1,1,0,1,1,1,0,1,One year,1,Bank transfer (automatic),1,63,0,68,Offer A,3,4903,1
0,0,0,0,1,1,0,1,1,0,1,1,Two year,1,Electronic check,1,24,0,43,,1,5250,1
1,0,1,0,1,1,0,1,1,0,1,1,Month-to-month,1,Electronic check,1,61,0,63,,2,4352,1
0,0,0,0,1,0,0,0,0,0,1,1,Month-to-month,1,Electronic check,1,47,0,2,Offer E,3,4157,1
1,0,1,0,1,1,0,1,1,0,0,0,Month-to-month,1,Bank transfer (automatic),1,26,0,4,Offer E,3,4939,1
0,1,0,0,0,0,1,0,0,0,1,0,Month-to-month,1,Electronic check,1,77,0,21,,1,4778,0
0,0,0,0,1,0,0,0,0,0,0,1,Month-to-month,1,Bank transfer (automatic),1,40,0,10,,3,3598,1
1,1,1,0,0,0,1,0,0,0,0,0,Month-to-month,0,Credit card (automatic),1,71,0,27,,1,2927,0
1,0,0,0,1,0,0,0,1,0,1,1,Month-to-month,0,Bank transfer (automatic),1,54,0,5,Offer E,3,5383,1
1,0,0,0,1,1,0,0,0,0,1,0,Month-to-month,1,Electronic check,1,22,0,2,Offer E,1,3878,1
0,0,1,0,1,1,0,0,1,1,1,1,Month-to-month,1,Bank transfer (automatic),1,48,0,25,Offer C,3,3642,1
1,0,0,0,1,0,0,1,0,0,0,0,Month-to-month,0,Mailed check,1,26,0,1,Offer E,1,2431,1
1,0,0,0,1,1,0,1,0,0,0,1,Month-to-month,1,Credit card (automatic),1,64,0,1,Offer E,3,3424,1
1,1,1,0,1,0,0,0,0,0,0,0,Month-to-month,0,Mailed check,1,79,0,11,,1,5888,0
0,1,1,0,1,1,0,1,1,0,0,0,Month-to-month,1,Electronic check,1,66,0,55,Offer B,1,5502,1
0,0,0,0,1,0,0,1,0,0,0,0,Month-to-month,1,Credit card (automatic),1,63,0,34,Offer C,3,5795,1
1,0,1,0,1,1,0,0,1,0,1,1,Month-to-month,1,Credit card (automatic),1,30,0,69,Offer A,3,4020,1
0,0,0,0,1,0,0,0,0,0,0,0,Month-to-month,1,Mailed check,1,59,0,1,Offer E,3,3351,0
1,0,0,0,1,0,0,0,0,0,0,0,Month-to-month,1,Mailed check,1,52,0,1,Offer E,1,3448,0
1,1,0,0,1,1,0,1,0,0,0,0,Month-to-month,1,Electronic check,1,77,0,3,Offer E,1,2818,1
0,0,1,0,1,0,0,1,0,0,0,1,Month-to-month,0,Electronic check,1,23,0,22,,1,3804,1
0,1,0,0,1,0,0,0,1,0,0,0,Month-to-month,1,Bank transfer (automatic),1,80,0,1,Offer E,2,4902,1
0,0,1,0,1,0,0,0,0,0,0,0,Month-to-month,1,Mailed check,1,22,0,61,,3,4221,0
1,0,0,0,1,0,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),1,49,0,12,,3,2887,1
0,0,0,0,1,1,0,1,1,0,1,1,Month-to-month,1,Electronic check,1,20,0,60,,2,4105,1
0,0,0,0,1,0,0,0,0,0,0,0,Month-to-month,0,Mailed check,1,54,0,1,Offer E,1,2792,1
0,0,1,0,1,0,0,0,0,0,0,1,Month-to-month,1,Electronic check,1,58,0,28,Offer C,1,5201,1
1,0,1,0,1,1,0,0,1,0,1,1,Month-to-month,0,Electronic check,1,21,0,4,Offer E,1,4417,1
1,0,0,0,1,1,0,1,0,0,1,1,Month-to-month,1,Electronic check,1,61,0,7,,1,2031,1
0,0,1,0,1,0,0,0,0,0,0,1,Month-to-month,0,Electronic check,1,60,0,13,Offer D,1,4498,1
1,0,0,0,1,0,0,0,0,0,0,1,Month-to-month,1,Electronic check,1,25,0,1,,1,4877,1
0,0,1,0,1,0,0,1,0,0,0,0,Month-to-month,1,Electronic check,1,52,0,1,,1,5980,1
1,0,0,0,1,1,0,1,0,0,0,0,Month-to-month,1,Electronic check,1,52,0,24,Offer C,1,4418,1
1,0,0,0,1,0,0,0,0,1,1,1,Month-to-month,1,Electronic check,1,61,0,5,,1,4192,1
0,0,0,0,1,0,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),1,40,0,15,Offer D,1,5671,1
0,0,1,0,0,0,1,0,1,0,0,1,Month-to-month,1,Bank transfer (automatic),1,28,0,48,,1,4926,0
0,0,1,0,1,0,0,1,0,0,1,0,Month-to-month,1,Electronic check,1,32,0,8,,1,2879,1
1,0,0,0,1,1,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,32,0,1,,1,2814,1
0,0,1,0,1,0,1,0,0,0,0,0,Month-to-month,1,Electronic check,1,28,0,2,,1,4263,1
1,0,0,0,0,0,0,1,1,0,0,1,One year,1,Bank transfer (automatic),1,51,0,22,Offer D,3,3099,0
0,1,0,0,0,0,0,1,0,0,0,0,Month-to-month,0,Electronic check,1,77,0,5,Offer E,2,4099,0
0,0,0,0,1,1,1,1,1,0,0,1,Month-to-month,1,Bank transfer (automatic),1,49,0,12,Offer D,1,2538,1
0,1,0,0,1,1,0,1,1,0,0,1,Month-to-month,1,Electronic check,1,77,0,20,,1,2666,1
1,0,1,0,1,0,0,0,0,1,1,1,Month-to-month,1,Electronic check,1,49,0,2,,2,3715,1
0,0,1,0,1,1,0,0,0,1,0,0,Month-to-month,1,Electronic check,1,64,0,6,,3,5032,1
0,1,1,0,1,1,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,72,0,5,Offer E,1,5273,1
1,0,0,0,1,1,0,0,1,1,1,1,Month-to-month,0,Bank transfer (automatic),1,55,0,40,,1,3492,1
0,1,1,0,1,0,1,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),1,80,0,27,,1,4517,1
0,0,0,0,1,1,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),1,47,0,23,Offer D,1,2115,1
1,0,1,0,1,1,0,0,1,0,1,1,Month-to-month,1,Electronic check,1,22,0,34,Offer C,3,2568,1
0,0,0,0,1,1,0,0,0,0,0,1,Month-to-month,1,Electronic check,1,51,0,1,Offer E,3,5679,1
1,0,0,0,1,1,0,0,0,0,1,0,Month-to-month,1,Bank transfer (automatic),1,33,0,10,Offer D,3,2966,1
1,0,0,0,0,0,1,0,0,1,1,0,Month-to-month,1,Credit card (automatic),1,52,0,13,Offer D,3,4856,0
1,0,1,0,1,0,0,1,0,0,1,0,Month-to-month,1,Mailed check,1,29,0,39,Offer C,1,3364,1
1,0,0,0,1,1,0,1,0,0,0,0,Month-to-month,1,Bank transfer (automatic),1,31,0,32,Offer C,1,5974,1
0,0,0,0,1,1,0,0,1,0,1,1,Month-to-month,1,Electronic check,1,44,0,35,Offer C,3,2744,1
1,0,1,0,1,1,0,1,0,0,1,1,One year,0,Credit card (automatic),1,50,0,56,,2,5170,1
0,0,1,0,1,0,0,0,0,0,0,0,Month-to-month,0,Mailed check,1,48,0,12,Offer D,1,3535,0
0,0,0,0,1,0,1,0,0,0,0,0,Month-to-month,0,Mailed check,1,28,0,1,,1,3244,1
0,1,0,0,1,1,0,0,1,0,1,0,Month-to-month,1,Electronic check,1,74,0,4,,1,5808,1
